n,gamma_n,gamma_{n+1},spacing
1,14.134725141,21.022039639,6.887314498
2,21.022039639,25.010857580,3.988817941
3,25.010857580,30.424876125,5.414018545
4,30.424876125,32.935061588,2.510185463
5,32.935061588,37.586178159,4.651116571
6,37.586178159,40.918719012,3.332540853
7,40.918719012,43.327073281,2.408354269
8,43.327073281,48.005150881,4.678077600
9,48.005150881,49.773832478,1.768681597
10,49.773832478,52.970321478,3.196489000
